Body Regions;A01
Lilium;B01.650.940.800.575.100.610.500
Liriope Plant;B01.650.940.800.575.100.610.509
Lycoris;B01.650.940.800.575.100.610.533
Narcissus;B01.650.940.800.575.100.610.555
Ophiopogon;B01.650.940.800.575.100.610.588
Ornithogalum;B01.650.940.800.575.100.610.593
Polygonatum;B01.650.940.800.575.100.610.688
Ruscus;B01.650.940.800.575.100.610.716
Sansevieria;B01.650.940.800.575.100.610.730
Scilla;B01.650.940.800.575.100.610.737
Smilacina;B01.650.940.800.575.100.610.744
Trillium;B01.650.940.800.575.100.610.772
Tulipa;B01.650.940.800.575.100.610.786
Urginea;B01.650.940.800.575.100.610.793
Veratrum;B01.650.940.800.575.100.610.800
Zigadenus;B01.650.940.800.575.100.610.900
Linaceae;B01.650.940.800.575.100.620
Flax;B01.650.940.800.575.100.620.500
Loganiaceae;B01.650.940.800.575.100.638
Gelsemium;B01.650.940.800.575.100.638.500
Strychnos;B01.650.940.800.575.100.638.750
Strychnos nux-vomica;B01.650.940.800.575.100.638.750.500
Lythraceae;B01.650.940.800.575.100.665
Cuphea;B01.650.940.800.575.100.665.249
Lagerstroemia;B01.650.940.800.575.100.665.374
Lawsonia Plant;B01.650.940.800.575.100.665.437
Lythrum;B01.650.940.800.575.100.665.500
Woodfordia;B01.650.940.800.575.100.665.750
Magnoliaceae;B01.650.940.800.575.100.680
Liriodendron;B01.650.940.800.575.100.680.249
Magnolia;B01.650.940.800.575.100.680.500
Malpighiaceae;B01.650.940.800.575.100.690
Banisteriopsis;B01.650.940.800.575.100.690.099
Galphimia;B01.650.940.800.575.100.690.355
Malvaceae;B01.650.940.800.575.100.700
Abelmoschus;B01.650.940.800.575.100.700.100
Althaea;B01.650.940.800.575.100.700.115
Gossypium;B01.650.940.800.575.100.700.244
Hibiscus;B01.650.940.800.575.100.700.288
Malva;B01.650.940.800.575.100.700.555
Melastomataceae;B01.650.940.800.575.100.707
Meliaceae;B01.650.940.800.575.100.715
Aglaia;B01.650.940.800.575.100.715.061
Azadirachta;B01.650.940.800.575.100.715.124
Cedrela;B01.650.940.800.575.100.715.249
Melia;B01.650.940.800.575.100.715.500
Melia azedarach;B01.650.940.800.575.100.715.500.500
Menispermaceae;B01.650.940.800.575.100.725
Cissampelos;B01.650.940.800.575.100.725.111
Cocculus;B01.650.940.800.575.100.725.124
Cyclea;B01.650.940.800.575.100.725.249
Menispermum;B01.650.940.800.575.100.725.500
Sinomenium;B01.650.940.800.575.100.725.625
Stephania;B01.650.940.800.575.100.725.750
Stephania tetrandra;B01.650.940.800.575.100.725.750.500
Tinospora;B01.650.940.800.575.100.725.875
Mistletoe;B01.650.940.800.575.100.735
Loranthaceae;B01.650.940.800.575.100.735.249
Viscaceae;B01.650.940.800.575.100.735.888
Phoradendron;B01.650.940.800.575.100.735.888.699
Viscum;B01.650.940.800.575.100.735.888.750
Viscum album;B01.650.940.800.575.100.735.888.750.500
Molluginaceae;B01.650.940.800.575.100.740
Monimiaceae;B01.650.940.800.575.100.745
Peumus;B01.650.940.800.575.100.745.500
Moraceae;B01.650.940.800.575.100.750
Antiaris;B01.650.940.800.575.100.750.055
Artocarpus;B01.650.940.800.575.100.750.088
Broussonetia;B01.650.940.800.575.100.750.144
Ficus;B01.650.940.800.575.100.750.500
Maclura;B01.650.940.800.575.100.750.599
Morus;B01.650.940.800.575.100.750.633
Moringa;B01.650.940.800.575.100.752
Moringa oleifera;B01.650.940.800.575.100.752.500
Myoporaceae;B01.650.940.800.575.100.756
Eremophila Plant;B01.650.940.800.575.100.756.249
Myoporum;B01.650.940.800.575.100.756.500
Myricaceae;B01.650.940.800.575.100.760
Myrica;B01.650.940.800.575.100.760.500
Myristicaceae;B01.650.940.800.575.100.765
Myristica fragrans;B01.650.940.800.575.100.765.500
Myrsinaceae;B01.650.940.800.575.100.770
Ardisia;B01.650.940.800.575.100.770.066
Embelia;B01.650.940.800.575.100.770.533
Myrtaceae;B01.650.940.800.575.100.773
Eucalyptus;B01.650.940.800.575.100.773.366
Eugenia;B01.650.940.800.575.100.773.374
Feijoa;B01.650.940.800.575.100.773.522
Kunzea;B01.650.940.800.575.100.773.649
Leptospermum;B01.650.940.800.575.100.773.713
Melaleuca;B01.650.940.800.575.100.773.745
Myrtus;B01.650.940.800.575.100.773.761
Pimenta;B01.650.940.800.575.100.773.777
Psidium;B01.650.940.800.575.100.773.888
Nelumbonaceae;B01.650.940.800.575.100.774
Nelumbo;B01.650.940.800.575.100.774.500
Nyctaginaceae;B01.650.940.800.575.100.775
Mirabilis;B01.650.940.800.575.100.775.500
Nymphaeaceae;B01.650.940.800.575.100.776
Nuphar;B01.650.940.800.575.100.776.488
Nymphaea;B01.650.940.800.575.100.776.500
Nyssaceae;B01.650.940.800.575.100.778
Camptotheca;B01.650.940.800.575.100.778.188
Nyssa;B01.650.940.800.575.100.778.594
Ochnaceae;B01.650.940.800.575.100.779
Olacaceae;B01.650.940.800.575.100.780
Oleaceae;B01.650.940.800.575.100.782
Forsythia;B01.650.940.800.575.100.782.333
Fraxinus;B01.650.940.800.575.100.782.374
Jasminum;B01.650.940.800.575.100.782.416
Ligustrum;B01.650.940.800.575.100.782.499
Olea;B01.650.940.800.575.100.782.666
Syringa;B01.650.940.800.575.100.782.833
Onagraceae;B01.650.940.800.575.100.786
Clarkia;B01.650.940.800.575.100.786.222
Epilobium;B01.650.940.800.575.100.786.416
Oenothera;B01.650.940.800.575.100.786.611
Oenothera biennis;B01.650.940.800.575.100.786.611.500
Orchidaceae;B01.650.940.800.575.100.787
Dendrobium;B01.650.940.800.575.100.787.222
Gastrodia;B01.650.940.800.575.100.787.500
Vanilla;B01.650.940.800.575.100.787.888
Orobanchaceae;B01.650.940.800.575.100.788
Cistanche;B01.650.940.800.575.100.788.500
Orobanche;B01.650.940.800.575.100.788.750
Oxalidaceae;B01.650.940.800.575.100.789
Averrhoa;B01.650.940.800.575.100.789.500
Paeonia;B01.650.940.800.575.100.791
Pandanaceae;B01.650.940.800.575.100.792
Papaveraceae;B01.650.940.800.575.100.795
Argemone;B01.650.940.800.575.100.795.124
Chelidonium;B01.650.940.800.575.100.795.249
Eschscholzia;B01.650.940.800.575.100.795.374
Papaver;B01.650.940.800.575.100.795.500
Sanguinaria;B01.650.940.800.575.100.795.750
Passifloraceae;B01.650.940.800.575.100.803
Passiflora;B01.650.940.800.575.100.803.500
Pedaliaceae;B01.650.940.800.575.100.806
Harpagophytum;B01.650.940.800.575.100.806.500
Sesamum;B01.650.940.800.575.100.806.750
Phytolaccaceae;B01.650.940.800.575.100.809
Phytolacca;B01.650.940.800.575.100.809.500
Phytolacca americana;B01.650.940.800.575.100.809.500.500
Phytolacca dodecandra;B01.650.940.800.575.100.809.500.750
Piperaceae;B01.650.940.800.575.100.812
Peperomia;B01.650.940.800.575.100.812.332
Piper;B01.650.940.800.575.100.812.666
Kava;B01.650.940.800.575.100.812.666.249
Piper betle;B01.650.940.800.575.100.812.666.374
Piper nigrum;B01.650.940.800.575.100.812.666.500
Plantago;B01.650.940.800.575.100.818
Plumbaginaceae;B01.650.940.800.575.100.821
Poaceae;B01.650.940.800.575.100.822
Agropyron;B01.650.940.800.575.100.822.033
Agrostis;B01.650.940.800.575.100.822.044
Andropogon;B01.650.940.800.575.100.822.055
Avena sativa;B01.650.940.800.575.100.822.060
Bambusa;B01.650.940.800.575.100.822.066
Brachiaria;B01.650.940.800.575.100.822.071
Brachypodium;B01.650.940.800.575.100.822.072
Bromus;B01.650.940.800.575.100.822.077
Cenchrus;B01.650.940.800.575.100.822.151
Coix;B01.650.940.800.575.100.822.227
Cymbopogon;B01.650.940.800.575.100.822.266
Cynodon;B01.650.940.800.575.100.822.288
Dactylis;B01.650.940.800.575.100.822.299
Digitaria;B01.650.940.800.575.100.822.311
Echinochloa;B01.650.940.800.575.100.822.322
Eleusine;B01.650.940.800.575.100.822.333
Elymus;B01.650.940.800.575.100.822.344
Eragrostis;B01.650.940.800.575.100.822.355
Festuca;B01.650.940.800.575.100.822.427
Holcus;B01.650.940.800.575.100.822.463
Hordeum;B01.650.940.800.575.100.822.481
Lolium;B01.650.940.800.575.100.822.500
Melinis repens;B01.650.940.800.575.100.822.558
Oryza sativa;B01.650.940.800.575.100.822.616
Panicum;B01.650.940.800.575.100.822.680
Paspalum;B01.650.940.800.575.100.822.744
Pennisetum;B01.650.940.800.575.100.822.755
Phalaris;B01.650.940.800.575.100.822.777
Phleum;B01.650.940.800.575.100.822.788
Poa;B01.650.940.800.575.100.822.793
Saccharum;B01.650.940.800.575.100.822.835
Sasa;B01.650.940.800.575.100.822.844
Secale cereale;B01.650.940.800.575.100.822.857
Setaria Plant;B01.650.940.800.575.100.822.871
Sorghum;B01.650.940.800.575.100.822.894
Triticum;B01.650.940.800.575.100.822.918
Vetiveria;B01.650.940.800.575.100.822.942
Zea mays;B01.650.940.800.575.100.822.966
Polygalaceae;B01.650.940.800.575.100.823
Polygala;B01.650.940.800.575.100.823.500
Securidaca;B01.650.940.800.575.100.823.750
Polygonaceae;B01.650.940.800.575.100.825
Eriogonum;B01.650.940.800.575.100.825.306
Fagopyrum;B01.650.940.800.575.100.825.333
Polygonum;B01.650.940.800.575.100.825.437
Polygonum cuspidatum;B01.650.940.800.575.100.825.437.500
Rheum;B01.650.940.800.575.100.825.700
Rumex;B01.650.940.800.575.100.825.850
Pontederiaceae;B01.650.940.800.575.100.826
Eichhornia;B01.650.940.800.575.100.826.500
Portulacaceae;B01.650.940.800.575.100.827
Portulaca;B01.650.940.800.575.100.827.500
Primulaceae;B01.650.940.800.575.100.829
Anagallis;B01.650.940.800.575.100.829.099
Cyclamen;B01.650.940.800.575.100.829.549
Primula;B01.650.940.800.575.100.829.774
Proteaceae;B01.650.940.800.575.100.831
Macadamia;B01.650.940.800.575.100.831.500
Punicaceae;B01.650.940.800.575.100.833
Pyrolaceae;B01.650.940.800.575.100.835
Pyrola;B01.650.940.800.575.100.835.500
Ranunculaceae;B01.650.940.800.575.100.838
Aconitum;B01.650.940.800.575.100.838.022
Actaea;B01.650.940.800.575.100.838.033
Adonis;B01.650.940.800.575.100.838.036
Anemone;B01.650.940.800.575.100.838.077
Aquilegia;B01.650.940.800.575.100.838.088
Cimicifuga;B01.650.940.800.575.100.838.182
Clematis;B01.650.940.800.575.100.838.205
Coptis;B01.650.940.800.575.100.838.229
Delphinium;B01.650.940.800.575.100.838.277
Helleborus;B01.650.940.800.575.100.838.337
Hydrastis;B01.650.940.800.575.100.838.397
Nigella;B01.650.940.800.575.100.838.518
Nigella damascena;B01.650.940.800.575.100.838.518.500
Nigella sativa;B01.650.940.800.575.100.838.518.750
Pulsatilla;B01.650.940.800.575.100.838.666
Ranunculus;B01.650.940.800.575.100.838.733
Semiaquilegia;B01.650.940.800.575.100.838.766
Thalictrum;B01.650.940.800.575.100.838.883
Xanthorhiza;B01.650.940.800.575.100.838.941
Resedaceae;B01.650.940.800.575.100.839
Rhamnaceae;B01.650.940.800.575.100.840
Ceanothus;B01.650.940.800.575.100.840.111
Colubrina;B01.650.940.800.575.100.840.133
Frangula;B01.650.940.800.575.100.840.316
Karwinskia;B01.650.940.800.575.100.840.408
Rhamnus;B01.650.940.800.575.100.840.666
Ziziphus;B01.650.940.800.575.100.840.833
Rhizophoraceae;B01.650.940.800.575.100.841
Rosales;B01.650.940.800.575.100.842
Chrysobalanaceae;B01.650.940.800.575.100.842.110
Connaraceae;B01.650.940.800.575.100.842.222
Crassulaceae;B01.650.940.800.575.100.842.249
Kalanchoe;B01.650.940.800.575.100.842.249.249
Rhodiola;B01.650.940.800.575.100.842.249.500
Sedum;B01.650.940.800.575.100.842.249.750
Grossulariaceae;B01.650.940.800.575.100.842.311
Ribes;B01.650.940.800.575.100.842.311.500
Hydrangeaceae;B01.650.940.800.575.100.842.374
Hydrangea;B01.650.940.800.575.100.842.374.500
Rosaceae;B01.650.940.800.575.100.842.500
Agrimonia;B01.650.940.800.575.100.842.500.033
Alchemilla;B01.650.940.800.575.100.842.500.055
Crataegus;B01.650.940.800.575.100.842.500.177
Eriobotrya;B01.650.940.800.575.100.842.500.222
Filipendula;B01.650.940.800.575.100.842.500.244
Fragaria;B01.650.940.800.575.100.842.500.266
Geum;B01.650.940.800.575.100.842.500.288
Malus;B01.650.940.800.575.100.842.500.444
Photinia;B01.650.940.800.575.100.842.500.522
Potentilla;B01.650.940.800.575.100.842.500.601
Prunus;B01.650.940.800.575.100.842.500.625
Pygeum;B01.650.940.800.575.100.842.500.687
Pyracantha;B01.650.940.800.575.100.842.500.693
Pyrus;B01.650.940.800.575.100.842.500.699
Quillaja;B01.650.940.800.575.100.842.500.724
Rosa;B01.650.940.800.575.100.842.500.750
Rubus;B01.650.940.800.575.100.842.500.764
Sanguisorba;B01.650.940.800.575.100.842.500.779
Sorbus;B01.650.940.800.575.100.842.500.793
Spiraea;B01.650.940.800.575.100.842.500.808
Saxifragaceae;B01.650.940.800.575.100.842.750
Heuchera;B01.650.940.800.575.100.842.750.500
Rubiaceae;B01.650.940.800.575.100.850
Cephaelis;B01.650.940.800.575.100.850.200
Cinchona;B01.650.940.800.575.100.850.250
Coffea;B01.650.940.800.575.100.850.275
Galium;B01.650.940.800.575.100.850.377
Gardenia;B01.650.940.800.575.100.850.388
Hamelia;B01.650.940.800.575.100.850.404
Hedyotis;B01.650.940.800.575.100.850.422
Mitragyna;B01.650.940.800.575.100.850.555
Morinda;B01.650.940.800.575.100.850.566
Oldenlandia;B01.650.940.800.575.100.850.611
Pausinystalia;B01.650.940.800.575.100.850.805
Psychotria;B01.650.940.800.575.100.850.844
Rubia;B01.650.940.800.575.100.850.876
Uncaria;B01.650.940.800.575.100.850.909
Cat's Claw;B01.650.940.800.575.100.850.909.500
Rutaceae;B01.650.940.800.575.100.875
Aegle;B01.650.940.800.575.100.875.077
Casimiroa;B01.650.940.800.575.100.875.155
Citrus;B01.650.940.800.575.100.875.177
Citrus aurantiifolia;B01.650.940.800.575.100.875.177.077
Citrus paradisi;B01.650.940.800.575.100.875.177.538
Citrus sinensis;B01.650.940.800.575.100.875.177.769
Clausena;B01.650.940.800.575.100.875.216
Dictamnus;B01.650.940.800.575.100.875.255
Evodia;B01.650.940.800.575.100.875.333
Murraya;B01.650.940.800.575.100.875.666
Phellodendron;B01.650.940.800.575.100.875.717
Pilocarpus;B01.650.940.800.575.100.875.733
Poncirus;B01.650.940.800.575.100.875.755
Ruta;B01.650.940.800.575.100.875.788
Zanthoxylum;B01.650.940.800.575.100.875.922
Salicaceae;B01.650.940.800.575.100.881
Populus;B01.650.940.800.575.100.881.666
Salix;B01.650.940.800.575.100.881.833
Salvadoraceae;B01.650.940.800.575.100.882
Santalaceae;B01.650.940.800.575.100.884
Pyrularia;B01.650.940.800.575.100.884.666
Santalum;B01.650.940.800.575.100.884.833
Sapindaceae;B01.650.940.800.575.100.885
Blighia;B01.650.940.800.575.100.885.111
Litchi;B01.650.940.800.575.100.885.444
Paullinia;B01.650.940.800.575.100.885.722
Sapindus;B01.650.940.800.575.100.885.861
Sapotaceae;B01.650.940.800.575.100.886
Madhuca;B01.650.940.800.575.100.886.500
Manilkara;B01.650.940.800.575.100.886.555
Mimusops;B01.650.940.800.575.100.886.577
Palaquium;B01.650.940.800.575.100.886.666
Pouteria;B01.650.940.800.575.100.886.699
Synsepalum;B01.650.940.800.575.100.886.849
Sarraceniaceae;B01.650.940.800.575.100.887
Saururaceae;B01.650.940.800.575.100.888
Houttuynia;B01.650.940.800.575.100.888.500
Schisandraceae;B01.650.940.800.575.100.889
Kadsura;B01.650.940.800.575.100.889.500
Schisandra;B01.650.940.800.575.100.889.750
Scrophulariaceae;B01.650.940.800.575.100.892
Antirrhinum;B01.650.940.800.575.100.892.055
Bacopa;B01.650.940.800.575.100.892.089
Buddleja;B01.650.940.800.575.100.892.124
Craterostigma;B01.650.940.800.575.100.892.194
Digitalis;B01.650.940.800.575.100.892.333
Euphrasia;B01.650.940.800.575.100.892.366
Linaria;B01.650.940.800.575.100.892.555
Mimulus;B01.650.940.800.575.100.892.599
Pedicularis;B01.650.940.800.575.100.892.705
Penstemon;B01.650.940.800.575.100.892.758
Picrorhiza;B01.650.940.800.575.100.892.811
Rehmannia;B01.650.940.800.575.100.892.833
Scoparia;B01.650.940.800.575.100.892.844
Scrophularia;B01.650.940.800.575.100.892.855
Striga;B01.650.940.800.575.100.892.877
Verbascum;B01.650.940.800.575.100.892.899
Veronica;B01.650.940.800.575.100.892.905
Simaroubaceae;B01.650.940.800.575.100.898
Ailanthus;B01.650.940.800.575.100.898.044
Brucea;B01.650.940.800.575.100.898.111
Eurycoma;B01.650.940.800.575.100.898.333
Picrasma;B01.650.940.800.575.100.898.555
Quassia;B01.650.940.800.575.100.898.599
Simarouba;B01.650.940.800.575.100.898.799
Smilacaceae;B01.650.940.800.575.100.901
Smilax;B01.650.940.800.575.100.901.500
Solanaceae;B01.650.940.800.575.100.905
Atropa;B01.650.940.800.575.100.905.049
Atropa belladonna;B01.650.940.800.575.100.905.049.222
Capsicum;B01.650.940.800.575.100.905.145
Cestrum;B01.650.940.800.575.100.905.166
Datura;B01.650.940.800.575.100.905.188
Datura metel;B01.650.940.800.575.100.905.188.550
Datura stramonium;B01.650.940.800.575.100.905.188.800
Duboisia;B01.650.940.800.575.100.905.202
Hyoscyamus;B01.650.940.800.575.100.905.274
Lycium;B01.650.940.800.575.100.905.310
Lycopersicon esculentum;B01.650.940.800.575.100.905.322
Mandragora;B01.650.940.800.575.100.905.347
Petunia;B01.650.940.800.575.100.905.448
Physalis;B01.650.940.800.575.100.905.499
Scopolia;B01.650.940.800.575.100.905.612
Solanum;B01.650.940.800.575.100.905.725
Solanum glaucophyllum;B01.650.940.800.575.100.905.725.610
Solanum melongena;B01.650.940.800.575.100.905.725.666
Solanum nigrum;B01.650.940.800.575.100.905.725.699
Solanum tuberosum;B01.650.940.800.575.100.905.725.777
Tobacco;B01.650.940.800.575.100.905.900
Withania;B01.650.940.800.575.100.905.950
Stemonaceae;B01.650.940.800.575.100.910
Sterculiaceae;B01.650.940.800.575.100.915
Cacao;B01.650.940.800.575.100.915.144
Cola;B01.650.940.800.575.100.915.166
Sterculia;B01.650.940.800.575.100.915.583
Styracaceae;B01.650.940.800.575.100.920
Styrax;B01.650.940.800.575.100.920.777
Tamaricaceae;B01.650.940.800.575.100.924
Theales;B01.650.940.800.575.100.928
Actinidiaceae;B01.650.940.800.575.100.928.124
Actinidia;B01.650.940.800.575.100.928.124.500
Clusiaceae;B01.650.940.800.575.100.928.249
Calophyllum;B01.650.940.800.575.100.928.249.166
Clusia;B01.650.940.800.575.100.928.249.249
Garcinia;B01.650.940.800.575.100.928.249.333
Garcinia cambogia;B01.650.940.800.575.100.928.249.333.200
Garcinia kola;B01.650.940.800.575.100.928.249.333.400
Garcinia mangostana;B01.650.940.800.575.100.928.249.333.600
Hypericum;B01.650.940.800.575.100.928.249.500
Mammea;B01.650.940.800.575.100.928.249.750
Dipterocarpaceae;B01.650.940.800.575.100.928.374
Theaceae;B01.650.940.800.575.100.928.500
Camellia;B01.650.940.800.575.100.928.500.500
Camellia sinensis;B01.650.940.800.575.100.928.500.500.500
Thymelaeaceae;B01.650.940.800.575.100.932
Daphne;B01.650.940.800.575.100.932.500
Wikstroemia;B01.650.940.800.575.100.932.909
Tiliaceae;B01.650.940.800.575.100.938
Corchorus;B01.650.940.800.575.100.938.144
Grewia;B01.650.940.800.575.100.938.333
Tilia;B01.650.940.800.575.100.938.777
Triumfetta;B01.650.940.800.575.100.938.888
Tropaeolaceae;B01.650.940.800.575.100.942
Tropaeolum;B01.650.940.800.575.100.942.500
Turnera;B01.650.940.800.575.100.947
Typhaceae;B01.650.940.800.575.100.948
Ulmaceae;B01.650.940.800.575.100.949
Trema;B01.650.940.800.575.100.949.777
Ulmus;B01.650.940.800.575.100.949.888
Urticaceae;B01.650.940.800.575.100.950
Boehmeria;B01.650.940.800.575.100.950.077
Parietaria;B01.650.940.800.575.100.950.777
Urtica dioica;B01.650.940.800.575.100.950.888
Valerianaceae;B01.650.940.800.575.100.955
Nardostachys;B01.650.940.800.575.100.955.443
Patrinia;B01.650.940.800.575.100.955.665
Valerian;B01.650.940.800.575.100.955.888
Valerianella;B01.650.940.800.575.100.955.944
Verbenaceae;B01.650.940.800.575.100.960
Avicennia;B01.650.940.800.575.100.960.066
Callicarpa;B01.650.940.800.575.100.960.144
Clerodendrum;B01.650.940.800.575.100.960.155
Lantana;B01.650.940.800.575.100.960.411
Lippia;B01.650.940.800.575.100.960.433
Verbena;B01.650.940.800.575.100.960.855
Vitex;B01.650.940.800.575.100.960.888
Violaceae;B01.650.940.800.575.100.962
Viola;B01.650.940.800.575.100.962.888
Vitaceae;B01.650.940.800.575.100.965
Ampelopsis;B01.650.940.800.575.100.965.044
Cissus;B01.650.940.800.575.100.965.272
Vitis;B01.650.940.800.575.100.965.500
Winteraceae;B01.650.940.800.575.100.970
Drimys;B01.650.940.800.575.100.970.199
Pseudowintera;B01.650.940.800.575.100.970.599
Zingiberales;B01.650.940.800.575.100.975
Costus;B01.650.940.800.575.100.975.124
Heliconiaceae;B01.650.940.800.575.100.975.323
Marantaceae;B01.650.940.800.575.100.975.522
Musaceae;B01.650.940.800.575.100.975.555
Musa;B01.650.940.800.575.100.975.555.500
Strelitziaceae;B01.650.940.800.575.100.975.727
Zingiberaceae;B01.650.940.800.575.100.975.900
Alpinia;B01.650.940.800.575.100.975.900.033
Amomum;B01.650.940.800.575.100.975.900.099
Curcuma;B01.650.940.800.575.100.975.900.166
Elettaria;B01.650.940.800.575.100.975.900.333
Ginger;B01.650.940.800.575.100.975.900.444
Zygophyllaceae;B01.650.940.800.575.100.987
Balanites;B01.650.940.800.575.100.987.088
Guaiacum;B01.650.940.800.575.100.987.277
Larrea;B01.650.940.800.575.100.987.399
Peganum;B01.650.940.800.575.100.987.699
Tribulus;B01.650.940.800.575.100.987.849
Zygophyllum;B01.650.940.800.575.100.987.924
Anthocerotophyta;B01.650.940.800.575.118
Bryophyta;B01.650.940.800.575.137
